ID,guest_id,table_number,date,hour
1,188,1,2025-04-17,7
2,235,1,2025-05-06,4
3,258,1,2025-04-23,3
4,131,1,2025-04-23,4
5,120,1,2025-04-23,5
6,190,1,2025-04-23,6
7,143,1,2025-04-23,7
8,159,1,2025-04-23,8
9,266,1,2025-04-23,9
10,269,1,2025-03-08,3
11,81,1,2025-03-08,4
12,139,1,2025-03-08,5
13,32,1,2025-03-08,6
14,209,1,2025-03-08,7
15,116,1,2025-03-08,8
16,246,1,2025-03-08,9
17,75,1,2025-05-15,3
18,298,1,2025-05-15,4
19,227,1,2025-05-15,5
20,153,1,2025-05-15,6
21,257,1,2025-05-15,7
22,266,1,2025-05-15,8
23,148,1,2025-05-15,9
24,99,1,2025-03-30,8
25,293,1,2025-03-15,3
26,193,1,2025-03-15,4
27,56,1,2025-03-15,5
28,230,1,2025-03-15,6
29,115,1,2025-03-15,7
30,292,1,2025-03-15,8
31,83,1,2025-03-15,9
32,29,1,2025-04-12,9
33,139,1,2025-04-18,7
34,167,1,2025-04-12,6
35,14,1,2025-04-21,7
36,178,1,2025-04-23,3
37,44,1,2025-04-23,4
38,83,1,2025-04-23,5
39,90,1,2025-04-23,6
40,109,1,2025-04-23,7
41,45,1,2025-04-23,8
42,51,1,2025-04-23,9
43,20,1,2025-04-22,3
44,14,1,2025-04-22,4
45,66,1,2025-04-22,5
46,258,1,2025-04-22,6
47,282,1,2025-04-22,7
48,71,1,2025-04-22,8
49,299,1,2025-04-22,9
50,182,1,2025-03-11,3
51,49,1,2025-03-11,4
52,94,1,2025-03-11,5
53,76,1,2025-03-11,6
54,129,1,2025-03-11,7
55,244,1,2025-03-11,8
56,115,1,2025-03-11,9
57,126,1,2025-03-24,3
58,90,1,2025-03-24,4
59,142,1,2025-03-24,5
60,161,1,2025-03-24,6
61,273,1,2025-03-24,7
62,188,1,2025-03-24,8
63,179,1,2025-03-24,9
64,132,1,2025-04-10,3
65,166,1,2025-04-10,4
66,85,1,2025-04-10,5
67,89,1,2025-04-10,6
68,59,1,2025-04-10,7
69,139,1,2025-04-10,8
70,213,1,2025-04-10,9
71,175,1,2025-02-16,8
72,29,1,2025-05-16,3
73,292,1,2025-05-16,4
74,269,1,2025-05-16,5
75,138,1,2025-05-16,6
76,259,1,2025-05-16,7
77,57,1,2025-05-16,8
78,232,1,2025-05-16,9
79,9,1,2025-04-19,5
80,178,1,2025-05-13,3
81,202,1,2025-05-13,4
82,277,1,2025-05-13,5
83,97,1,2025-05-13,6
84,146,1,2025-05-13,7
85,9,1,2025-05-13,8
86,110,1,2025-05-13,9
87,151,1,2025-03-21,3
88,68,1,2025-03-21,4
89,148,1,2025-03-21,5
90,200,1,2025-03-21,6
91,117,1,2025-03-21,7
92,221,1,2025-03-21,8
93,251,1,2025-03-21,9
94,7,1,2025-02-24,3
95,283,1,2025-02-24,4
